"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Goblet Cells",0.0731707317073171,0.48068669527897,0.219250346703755,0.413317733081541,1.383623681728,47,"TSPAN8;DMBT1;MST1R;KRT19;MUC2;TFF3;APOBEC1;FCGBP;ZG16;PKP3;CLCA1;SPINK4;GUCA2A;SLC13A2"
"Langerhans Cells",0.0753968253968254,0.48068669527897,0.231126709673834,-0.83373240792442,-1.34898861033957,3,"CD74"
"Pulmonary Alveolar Type I Cells",0.0736648250460405,0.48068669527897,0.224966093540314,0.48660339900263,1.42450039006842,26,"CEP170B;KRT19;VEGFA;ITGB4;EPHA2;DAB2IP;PKP3;SLCO2A1;SHROOM3;PTPRF;CTNND1;SH3D19;DSP;RHOD;CLDN4"
"Sertoli Cells",0.0772532188841202,0.48068669527897,0.237793834423688,-0.496764567358405,-1.38884215291382,19,"CST3;PRLR;SELENBP1;SDC4"
"Foveolar Cells",0.0923913043478261,0.487215909090909,0.197822021315103,0.414137527335799,1.32847056452686,40,"TSPAN8;DMBT1;LGALS2;LIPH;KRT19;MUC2;TFF3;FOXQ1;APOBEC1"
"Immature Neurons",0.0835030549898167,0.487215909090909,0.222056046145248,0.900214662542969,1.35049119881072,2,"HIVEP2;KIF1B"
"Leydig Cells",0.0877862595419847,0.487215909090909,0.208955027549354,-0.72455058762521,-1.37708089219008,5,"MAOA;PRLR"
"Natural Killer T Cells",0.0900195694716243,0.487215909090909,0.208955027549354,-0.897924125183321,-1.31721840021783,2,"EGR1"
"Salivary Mucous Cells",0.095703125,0.487215909090909,0.20207170902116,-0.959183673469388,-1.27253325874942,1,"CST6"
"Satellite Glial Cells",0.0935672514619883,0.487215909090909,0.204294756516886,-0.773605445606194,-1.38422414691344,4,"MAF;ALDH2"
"Enterochromaffin Cells",0.101293103448276,0.500507099391481,0.206587922696891,-0.495282671871684,-1.36105437526621,18,"ALDOB;ANKS4B;FABP1;NR1H4;TM4SF5;APOA4;MTTP"
"Plasma Cells",0.107074569789675,0.51395793499044,0.188204146308491,-0.675649671187925,-1.37447158427813,6,"CD74;SSR4;PPIB"
"Dendritic Cells",0.115079365079365,0.537037037037037,0.184706471207739,-0.594024228499608,-1.37749782666453,9,"CD74;DPP4"
"Erythroid-like And Erythroid Precursor Cells",0.12396694214876,0.548064375815572,0.181383128498408,-0.525031663513026,-1.32865972131151,13,"CEACAM1;PNPO;SLC25A37;APOA1;ALAD;CR1L"
"Tanycytes",0.123046875,0.548064375815572,0.176694268938498,-0.9491468718635,-1.25921759856021,1,"PRDX6"
"Glycinergic Neurons",0.12890625,0.555288461538462,0.172324344900946,-0.946804951488792,-1.25611061118272,1,"SCAMP5"
"Spermatozoa",0.140495867768595,0.590082644628099,0.169570644405628,-0.514095981244029,-1.30098557979659,13,"CD74;DNAJC3;FMO5;ALDH2;SMIM14;PIGR"
"GABAergic Neurons",0.161224489795918,0.629900332225914,0.156312403073186,0.911341585814654,1.22363311840719,1,"GADD45B"
"Gamma Delta T Cells",0.160642570281124,0.629900332225914,0.155241966228839,0.785432423189805,1.30397054953235,3,"TUBA1B;HMGB2;CCL5"
"Myocytes",0.157389635316699,0.629900332225914,0.153158808683073,0.577710947848628,1.33882512878058,11,"DOCK5;MEF2D;PXN;CLOCK"
